date,realized_return
2015-02-27,0.03513942981347963
2015-03-31,0.014123634750900367
2015-04-30,-0.04730285100740474
2015-05-29,0.03221820744384674
2015-06-30,-0.011001824908278559
2015-07-31,0.01036482469889213
2015-08-31,-0.046489550087767076
2015-09-30,0.033970635275889775
2015-10-30,-0.0031618461533887776
2015-11-30,7.615269711436397e-05
2015-12-31,0.07334028099607463
2016-01-29,0.006824620603563102
2016-02-29,0.04592584093088726
2016-03-31,0.03562992779720212
2016-04-29,-0.03158220576981781
2016-05-31,0.014108542070908323
2016-06-30,0.04326211596999837
2016-07-29,0.003235902678582596
2016-08-31,-0.02825988130784584
2016-09-30,-0.015363459481743297
2016-10-31,-0.009403002988948262
2016-11-30,-0.01143415889606194
2016-12-30,0.021771579397898724
2017-01-31,0.028544698914478212
2017-02-28,0.04004313523684405
2017-03-31,0.009998307291453023
2017-04-28,0.021161157280732073
2017-05-31,0.03271719736894861
2017-06-30,-0.008270177439366463
2017-07-31,0.0031462250487667804
2017-08-31,-0.028892944386552107
2017-09-29,0.03258845924265134
2017-10-31,0.008956055971289564
2017-11-30,0.044531948998533036
2017-12-29,-0.002792665709189815
2018-01-31,0.05813765463428032
2018-02-28,-0.0369346756881624
2018-03-29,0.011723448433914783
2018-04-30,0.015890506851491917
2018-05-31,-0.04785417086742939
2018-06-29,0.050983327234257345
2018-07-31,0.02839910736313041
2018-08-31,-0.0052956783571634965
2018-09-28,0.00908477073835885
2018-10-31,-0.04743550069161314
2018-11-30,0.04405465934055242
2018-12-31,-0.07826060814698386
2019-01-31,0.021211680825985454
2019-02-28,0.017384630528745407
2019-03-29,0.022054700278985633
2019-04-30,0.03435162720908297
2019-05-31,-0.003325507937318359
2019-06-28,0.032627000677067364
2019-07-31,0.009393622884894464
2019-08-30,0.03688225914568722
2019-09-30,0.010054956492355502
2019-10-31,0.00017640506761304247
2019-11-29,0.004698708109046601
2019-12-31,0.006487446037695425
2020-01-31,0.04127098820769026
2020-02-28,-0.06812735708588595
2020-03-31,-0.039936305111179723
2020-04-30,0.06551113186060666
2020-05-29,0.09095554387826761
2020-06-30,-0.009388293693478357
2020-07-31,0.08945387411764388
2020-08-31,0.023963274455058428
2020-09-30,0.006624261181575508
2020-10-30,0.0016333052631517919
2020-11-30,-0.009439167457327985
2020-12-31,0.026706002154256742
2021-01-29,-0.006062098503890892
2021-02-26,8.786200186161955e-05
2021-03-31,0.0835039335680674
2021-04-30,0.04348004338125709
2021-05-28,0.03442698631278812
2021-06-30,-0.031889487974446115
2021-07-30,0.017681620702755804
2021-08-31,0.007933529018554342
2021-09-30,-0.06058604882184346
2021-10-29,0.0518832716252891
2021-11-30,-0.019526495884755163
2021-12-31,0.10359350896421989
2022-01-31,0.0006537620698981277
2022-02-28,-0.010365024679655617
2022-03-31,0.04575306169396491
2022-04-29,-0.007800735054612903
2022-05-31,0.05591650127116439
2022-06-30,-0.06210700913246968
2022-07-29,0.030144645260514615
2022-08-31,-0.03081591228230752
2022-09-30,-0.06506635769270389
2022-10-31,0.13581379502108318
2022-11-30,0.06795921117910238
2022-12-30,-5.961643264497267e-05
2023-01-31,-0.03964924933515601
2023-02-28,-0.03534602367934819
2023-03-31,-0.011426798344291767
2023-04-28,0.049031909186807145
2023-05-31,-0.0944313437977343
2023-06-30,0.03817476972949389
2023-07-31,-0.00879095770257994
2023-08-31,-0.007427924988478065
2023-09-29,-0.030361913919292344
2023-10-31,-0.01248875195812571
2023-11-30,0.021873798401142536
2023-12-29,-0.0037863568881095766
2024-01-31,0.038526140786288285
2024-02-29,0.04023769698341429
2024-03-28,0.041938662483588796
2024-04-30,-0.028155522823444724
2024-05-31,0.01623572232970731
2024-06-28,-0.005660714314441542
2024-07-31,0.05386732835573239
2024-08-30,0.03366751127620225
2024-09-30,-0.00010117076027562526
2024-10-31,-0.013332481118017228
2024-11-29,0.03377021777395252
2024-12-31,-0.059743844885600056
