date,realized_return
2015-01-31,-0.00537669944513226
2015-02-28,0.026447212970972356
2015-03-31,0.014354534272654543
2015-04-30,-0.034881466724704185
2015-05-31,-0.032132680992341095
2015-06-30,-0.00023977009908003914
2015-07-31,0.00833149494058807
2015-08-31,-0.036390938869066504
2015-09-30,0.01595376918525862
2015-10-31,-0.001440228278171119
2015-11-30,-0.006433255626862732
2015-12-31,0.03592776833069777
2016-01-31,-0.00048398917052278057
2016-02-29,0.016437600514701663
2016-03-31,0.04357583234136689
2016-04-30,-0.03505933510608701
2016-05-31,0.014303139662257242
2016-06-30,0.056385723643019095
2016-07-31,0.02329328476723047
2016-08-31,-0.02765202314094497
2016-09-30,-0.009051190252099892
2016-10-31,-0.020994533881569907
2016-11-30,0.024084165980001345
2016-12-31,0.013858564770448431
2017-01-31,0.03658727755606022
2017-02-28,0.03949490800673633
2017-03-31,0.003467686149411773
2017-04-30,0.020743388564095903
2017-05-31,0.032370134463916095
2017-06-30,-0.016489959511635007
2017-07-31,0.00666657994720823
2017-08-31,-0.01437695849568384
2017-09-30,0.02411168405544099
2017-10-31,0.013887114468048438
2017-11-30,0.03685047575004839
2017-12-31,0.022816170907504763
2018-01-31,0.04884310893608667
2018-02-28,-0.03713413736901729
2018-03-31,0.016936856421312575
2018-04-30,0.030037800811966504
2018-05-31,-0.03700600100879488
2018-06-30,0.01980117824481362
2018-07-31,0.03389824070590121
2018-08-31,-0.0047756967007325825
2018-09-30,-0.0018022369688295995
2018-10-31,-0.04687622994540992
2018-11-30,0.04284868113381274
2018-12-31,-0.08073882427663961
2019-01-31,0.024334117655140042
2019-02-28,0.0054230155890913415
2019-03-31,0.009401747622563635
2019-04-30,0.03170796311991514
2019-05-31,-0.01126117064507756
2019-06-30,0.031103088456541115
2019-07-31,0.009014969245782045
2019-08-31,0.012481960438758512
2019-09-30,0.00022847743903561216
2019-10-31,-0.006485562987364578
2019-11-30,0.02212169138669014
2019-12-31,0.0056533966918814425
2020-01-31,0.024225606857937697
2020-02-29,-0.05982363417257999
2020-03-31,-0.05818062231139073
2020-04-30,0.014119501700437416
2020-05-31,0.1041604842978151
2020-06-30,0.013519551728249077
2020-07-31,0.10393883581858636
2020-08-31,0.037333420459042845
2020-09-30,-0.002292405778252733
2020-10-31,0.0014987414676512194
2020-11-30,-0.03455327503501428
2020-12-31,0.043260506607267546
2021-01-31,0.04247781707667413
2021-02-28,-0.013661180325553966
2021-03-31,0.06733207872004118
2021-04-30,0.048631863702484054
2021-05-31,0.03305468961205537
2021-06-30,-0.032229029632817666
2021-07-31,0.019893876120508157
2021-08-31,0.024146690945689588
2021-09-30,-0.06791566080113395
2021-10-31,0.040070773799120295
2021-11-30,-0.02011899712849788
2021-12-31,0.10259196037660243
2022-01-31,-0.010800720684034591
2022-02-28,-0.009453768914931404
2022-03-31,0.019472621654431373
2022-04-30,-0.016274631495733764
2022-05-31,0.023671770090166657
2022-06-30,-0.05391575160374095
2022-07-31,0.024666788477609815
2022-08-31,-0.02301835916241092
2022-09-30,-0.07480705280115718
2022-10-31,0.11190433952250008
2022-11-30,0.051474978861758086
2022-12-31,-0.01278221094758634
2023-01-31,-0.009542612343366116
2023-02-28,-0.03351068566656021
2023-03-31,-0.023281528786283444
2023-04-30,0.04523988097961015
2023-05-31,-0.05932687536963725
2023-06-30,0.04434643639441017
2023-07-31,0.005899939079327343
2023-08-31,-0.006137303542655987
2023-09-30,-0.036810543907247764
2023-10-31,-0.014613061993443388
2023-11-30,0.018068137222942076
2023-12-31,0.02219600412829422
2024-01-31,0.03230098360343196
2024-02-29,0.023517040793187526
2024-03-31,0.048030295436464546
2024-04-30,-0.016786898776652535
2024-05-31,0.016551666130838933
2024-06-30,0.024201010702036996
2024-07-31,0.05751391046592777
2024-08-31,0.0373203618835391
2024-09-30,0.014281605640055806
2024-10-31,-0.016029574884320164
2024-11-30,0.04454258163973387
2024-12-31,-0.05191627486381519
