permno,weight
14593,0.001893512328805562
10107,0.002734368365502331
84788,-6.228278881424549e-05
93436,0.0039855158561492
86580,0.0005797663363402788
14542,0.003754219316728857
90319,0.004065466961541879
11850,-0.004072950745998844
92655,0.005843315696245306
47896,0.0035543577365511367
22111,0.015495771981157496
83443,0.008736355341297035
13407,0.005989855188256238
55976,0.0029422397156961023
92611,0.011638685007132861
91233,0.004309244976429133
18163,0.013930520630010062
14541,0.006117476762976028
66181,-0.0006348241808345598
50876,0.0006401755093735168
17778,0.005636548672661022
59408,0.003952248046534863
13721,0.009512566274587823
22752,0.0054709798534173385
11308,0.006286206746014076
93002,-0.001036929196924963
13856,0.019665273160616448
10104,0.0008480276927595994
21936,0.0017327217857393369
87055,-0.0007476149604155708
62092,0.008150942386281019
76076,0.006673769720056481
43449,0.006081672200476299
26403,0.001054021977802956
49680,0.0025759921147461055
38703,0.004302165998848449
20482,0.0049352634546522755
91937,0.007521023484717907
90215,0.0016577773205647638
69032,0.005032590836429554
65875,0.006358421138389749
89525,0.0011701318135842742
15579,-0.00046683136521414003
92602,0.004392213872262566
75510,0.004964937297904958
57665,-0.006329397859720005
19393,0.011416694333913685
17830,0.0017765990030576136
89393,-0.0007935528389420388
75186,0.0025461298232973407
24205,0.004185333344512537
77178,-0.009386119270648917
66093,0.0032424838589580657
87447,-0.0006564111692200846
59176,6.350430979970299e-05
10145,-0.0048408298448837555
48725,-0.0012725415248312326
61241,0.0001037589049380894
13928,-0.004095095242286496
61399,0.003225886372047793
19350,-0.008024043459225702
14008,0.009800958932445399
18542,-0.0008620317342078311
21178,0.013097721974531688
19561,-0.001247146710335361
86868,0.005067179865947165
77702,-0.002794704317654521
12490,0.003409840671299285
78975,-0.0034691161098178496
89179,0.0021095143289126543
17478,-0.00289361469141244
17005,0.010083921366381941
87267,0.004824546391981609
59328,-0.00186258977551676
77274,0.002206352609185341
73139,0.00022626147873457944
70519,0.0027709645626337364
14702,0.0003222224010501813
86783,0.007199187229683481
60871,0.0035550618478245397
12060,0.0010182495653772794
44644,-0.0022261818306257637
89006,0.002465491788993097
40539,0.015192293784577983
13447,0.001490475526334477
64186,0.009312384826631557
64390,0.007412883638787973
15488,0.0006126679989400992
13901,0.00504617560982615
76614,-0.0014588095919065545
88352,0.0008412698595119798
45751,-0.005175557394469113
49154,0.0005461172073315523
13788,0.007391698397483263
76744,0.001155422465164947
66157,-0.001027003009073019
27959,0.011992346277974141
10696,-0.0006231146110186314
56573,-0.002646139748796276
24766,0.004347243927043685
18411,-0.006025412979247239
12622,0.004827407578370764
77605,0.006581467290905787
89626,0.010277553572207434
39642,-0.004518548168033267
75825,0.0017953684763192565
18576,0.004355710070050022
48486,-0.009099469103665433
92108,-0.009437134789173787
28222,-0.002043633637124134
60442,-0.007244730368733318
53613,0.0012229018747666523
62148,-0.0013946912157038031
12052,0.007723465696003153
71563,-0.005808040946584288
48653,0.0022321621111495095
92221,0.002095590777266143
11955,0.0022413962123939263
