permno,weight
1.0,4.0760136345269717e-19
2.0,7.409952726754236e-19
3.0,8.138960925454671e-20
4.0,3.1550274864675783e-19
5.0,1.7690492723273997e-19
6.0,2.7346667029478045e-19
7.0,1.0629672306662355e-19
8.0,1.3042195161188735e-19
9.0,2.1655223981978071e-19
10.0,1.6726719293816403e-19
11.0,2.447021507293901e-19
12.0,4.145882290706628e-19
13.0,4.575244098780685e-19
14.0,7.790213942017715e-20
15.0,3.381471661881682e-19
16.0,4.18522329760264e-19
17.0,4.2665026340457664e-19
18.0,1.8023583110440503e-19
19.0,1.6586677715736912e-19
20.0,4.56635859496054e-19
21.0,0.04931794539643976
22.0,5.2586640244563e-19
23.0,1.5589862453158473e-19
24.0,3.9737144780177797e-19
25.0,0.003420262096784414
26.0,1.2629516959949555e-19
27.0,0.053193400307544436
28.0,2.0856785862890664e-19
29.0,3.2481773885970495e-19
30.0,0.004989076547236466
31.0,4.214096387900652e-19
32.0,0.028102950725903242
33.0,2.9545774920605763e-19
34.0,0.010526415086416056
35.0,1.610206581878716e-19
36.0,4.2473524002590683e-19
37.0,7.420319678436577e-20
38.0,7.650027996149475e-20
39.0,5.595860041253716e-19
40.0,1.5126807396979567e-19
41.0,5.337104059493782e-19
42.0,9.957608537666087e-20
43.0,2.5868943234797415e-19
44.0,8.10479960532766e-19
45.0,0.06502002516030499
46.0,4.3035190671833423e-19
47.0,2.8565046810735686e-19
48.0,1.7046013771390288e-19
49.0,3.351065088375669e-19
50.0,1.8299592895022735e-19
51.0,3.2878184915909336e-19
52.0,3.9476203968643396e-19
53.0,4.739406107239016e-19
54.0,3.3388120895868683e-19
55.0,4.376681592690806e-19
56.0,2.3019756842147564e-19
57.0,1.6230827457588193e-19
58.0,6.960980711834384e-20
59.0,3.1362908165997594e-19
60.0,2.5176330571366843e-19
61.0,4.1780193923752654e-19
62.0,4.854866735567584e-19
63.0,3.140575421528276e-19
64.0,2.495019468359248e-19
65.0,5.205803129893655e-19
66.0,2.8104329321981657e-19
67.0,9.650752889927949e-20
68.0,1.8194972046444273e-19
69.0,5.823022378718872e-20
70.0,6.691017809866344e-20
71.0,5.777610414012991e-19
72.0,6.253685278702961e-19
73.0,3.3684563763886815e-19
74.0,2.5986523449041074e-19
75.0,4.508159987036633e-19
76.0,0.04068227677922784
77.0,3.706354338741789e-19
78.0,5.745656199663217e-19
79.0,0.04254209663202836
80.0,3.8343523338265345e-19
81.0,3.753745793771962e-19
82.0,3.2449805901502897e-19
83.0,3.724184509209424e-19
84.0,7.920334099656608e-19
85.0,3.26371073481215e-19
86.0,3.991459949734079e-19
87.0,0.018126476697017887
88.0,1.8293662726257637e-19
89.0,6.6850363530969935e-19
90.0,6.20783491668039e-20
91.0,3.3505819271943053e-19
92.0,6.900061896729722e-20
93.0,2.8773634291965644e-19
94.0,2.904885778593206e-19
95.0,5.544191192105421e-19
96.0,3.068305817309451e-19
97.0,2.8407286765310713e-19
98.0,2.204750012272037e-19
99.0,4.362711222753031e-19
100.0,2.71152056041869e-19
101.0,4.074852518672263e-19
102.0,1.190111909202364e-19
103.0,4.502537143195166e-19
104.0,4.726601395736777e-19
105.0,1.9250801188300498e-19
106.0,3.212464503075322e-19
107.0,1.233339663969062e-19
108.0,0.03270417948790126
109.0,1.1407535519835052e-19
110.0,6.788487255002763e-19
111.0,3.820756808248654e-19
112.0,2.283935921436256e-19
113.0,2.9069491348107515e-19
114.0,4.830158026515767e-20
115.0,7.2553788270002075e-19
116.0,2.588776855790307e-19
117.0,4.0388844602940483e-19
118.0,3.5662530275193347e-19
119.0,6.117637125392656e-19
120.0,2.421495526960342e-19
121.0,3.9536204150980257e-19
122.0,3.99433017551359e-19
123.0,4.810919916658083e-19
124.0,6.475291798165311e-19
125.0,6.609752272349502e-19
126.0,2.633742082911339e-19
127.0,0.0029789710087026557
128.0,2.3758154041091747e-19
129.0,2.2031442637895373e-19
130.0,4.100568194719999e-19
131.0,0.03731009612882046
132.0,5.248872302921929e-19
133.0,2.6870663944206717e-19
134.0,4.829724531484091e-19
135.0,1.0475187534493156e-19
136.0,0.026535295580052992
137.0,6.205203027111022e-19
138.0,2.4549388663461797e-19
139.0,1.4427100387280512e-19
140.0,4.591907117429633e-20
141.0,1.8767778926677245e-19
142.0,5.252514891876533e-19
143.0,4.975068196535321e-19
144.0,3.7360298701884175e-20
145.0,2.172156856269952e-19
146.0,9.25256943189458e-20
147.0,0.09004133931873505
148.0,8.425818375629254e-20
149.0,3.786914208602041e-19
150.0,3.9130936298371655e-19
151.0,6.753148520088053e-19
152.0,5.397534154906574e-19
153.0,3.5225477102964293e-19
154.0,2.4939737094945726e-19
155.0,6.895962283056507e-19
156.0,3.66994014232799e-19
157.0,1.8990694902642497e-19
158.0,3.3114629119139586e-19
159.0,3.5899274226172697e-19
160.0,3.0422273852081307e-19
161.0,1.3120914581837295e-19
162.0,1.8064800539677164e-19
163.0,2.6606017241672735e-19
164.0,1.1510384558279955e-19
165.0,1.5557382694676946e-19
166.0,4.111274469212326e-19
167.0,2.068579891148201e-19
168.0,8.195897642986476e-19
169.0,0.04445585424763955
170.0,5.556004819115836e-19
171.0,4.3284808926868736e-19
172.0,0.06432379996642433
173.0,2.1936522995717927e-19
174.0,1.7328788133101477e-19
175.0,0.01743227495384878
176.0,3.668669815886951e-19
177.0,1.1312094865692361e-19
178.0,7.078283426316735e-19
179.0,3.649654709309177e-19
180.0,5.599564094182243e-19
181.0,2.8279166449481368e-19
182.0,1.4042568015646544e-19
183.0,2.927965767085585e-19
184.0,2.528110544139473e-19
185.0,2.512867880326277e-19
186.0,5.359007852919787e-19
187.0,2.849707604101502e-19
188.0,4.890573110335778e-19
189.0,4.875924591627157e-19
190.0,4.613993629299904e-19
191.0,2.965896575993097e-19
192.0,6.4920528554843485e-19
193.0,2.5474519637725907e-19
194.0,3.891113403457789e-19
195.0,4.955585483790784e-19
196.0,3.3165469003919073e-19
197.0,2.8755329837115113e-19
198.0,4.347879384831474e-20
199.0,3.593366944667694e-19
200.0,2.542202562063519e-19
201.0,1.999468922047721e-19
202.0,3.0517766145519227e-19
203.0,4.609739596513067e-19
204.0,1.63929498881318e-19
205.0,0.05244911368799119
206.0,4.2518930060470225e-19
207.0,0.02037519193641878
208.0,6.267263343932469e-19
209.0,1.3995529209284899e-19
210.0,4.396068355880507e-19
211.0,6.089031014870386e-19
212.0,9.561374687399877e-20
213.0,2.600640452004508e-19
214.0,3.481684979042679e-19
215.0,3.7524632104228504e-19
216.0,3.9298654043247616e-19
217.0,2.524321554879481e-19
218.0,2.1268964543429803e-19
219.0,2.1896876906904337e-19
220.0,2.820003141081658e-19
221.0,1.1907038758701995e-19
222.0,2.1694131571073546e-19
223.0,0.013328505431726206
224.0,4.431023050125877e-19
225.0,4.496887326865682e-19
226.0,2.9391914408755477e-19
227.0,2.98187881514143e-19
228.0,5.664775730995202e-19
229.0,2.026530996257517e-19
230.0,1.0429042787347322e-19
231.0,3.8151937202545535e-19
232.0,0.005841684458282861
233.0,3.0244630184650574e-19
234.0,0.025726601676147324
235.0,4.1083529348703543e-19
236.0,4.496381776506757e-19
237.0,1.9886146982247974e-19
238.0,7.352404116955928e-19
239.0,5.038177246923474e-19
240.0,4.261585622581702e-19
241.0,0.006678253515551736
242.0,0.023386439286079908
243.0,2.5059659226843806e-19
244.0,2.5884854965749584e-19
245.0,4.883849938824615e-19
246.0,3.781576836656204e-19
247.0,2.0118777872197214e-19
248.0,1.3228145447882098e-19
249.0,3.194629501761924e-19
250.0,1.0148346885709974e-19
251.0,1.460856944743103e-19
252.0,1.344912766946682e-19
253.0,1.2418410486708249e-19
254.0,7.564705787365925e-19
255.0,1.9589889908627483e-19
256.0,7.996244354063107e-19
257.0,1.703915320764778e-19
258.0,4.795101360874049e-19
259.0,3.6247076328275e-19
260.0,6.853845189592859e-19
261.0,3.214569235821293e-19
262.0,2.918765255650844e-19
263.0,8.813561803253681e-19
264.0,3.102098829799772e-19
265.0,3.195123513171727e-19
266.0,2.2338420091671576e-19
267.0,3.2385700020363364e-19
268.0,5.001353020307395e-19
269.0,2.589306012425033e-19
270.0,6.090690078434458e-19
271.0,3.5437625686345644e-19
272.0,1.9030600015371523e-19
273.0,4.473133070984849e-19
274.0,4.2535804794047905e-19
275.0,5.761744911851105e-19
276.0,1.3212999488233599e-19
277.0,9.092376317942403e-20
278.0,2.2212558000615324e-19
279.0,4.616181859365873e-19
280.0,4.452990822830372e-19
281.0,3.391748623762482e-19
282.0,0.0019706359311386203
283.0,2.5442326143821098e-19
284.0,3.1366581679053044e-19
285.0,6.169753274179518e-19
286.0,5.313139486491446e-19
287.0,5.073018157754787e-19
288.0,3.2574611935192515e-19
289.0,4.427945942801495e-19
290.0,0.026516553431314507
291.0,4.3147809008863445e-19
292.0,3.679867027617978e-19
293.0,2.3455559653322603e-19
294.0,2.3635559952215477e-19
295.0,6.491381795546835e-20
296.0,5.109481848037763e-19
297.0,4.747833886921773e-19
298.0,5.873931759514429e-19
299.0,1.2509267389448036e-19
300.0,3.45177295786531e-19
301.0,3.0626295281716077e-19
302.0,7.90383339409536e-20
303.0,3.271406112881006e-19
304.0,2.640447486650721e-19
305.0,3.8533090153228877e-19
306.0,2.884265702161449e-19
307.0,2.415382937956855e-19
308.0,3.046063466568552e-19
309.0,6.252480451656888e-19
310.0,1.0619373297209669e-19
311.0,1.1190065363766003e-19
312.0,4.090397955150295e-19
313.0,5.51321812570448e-19
314.0,3.718669832536596e-19
315.0,5.724350542233727e-19
316.0,9.436641714812105e-20
317.0,3.694397036926238e-19
318.0,5.023595175758135e-19
319.0,3.710726119407166e-19
320.0,4.988087829422158e-19
321.0,0.014294330696001244
322.0,5.00437827245909e-19
323.0,7.486392712021858e-19
324.0,1.677871138539573e-19
325.0,8.041041524132407e-20
326.0,6.033870321553722e-19
327.0,6.328933598538944e-19
328.0,3.3163453760951213e-19
329.0,3.8677045369746856e-19
330.0,1.922184455289502e-19
331.0,0.022501594030260676
332.0,0.003061117937930323
333.0,3.488378761521959e-19
334.0,1.979310598366587e-19
335.0,3.798290822425625e-19
336.0,3.1423338500152976e-19
337.0,4.763937094086379e-19
338.0,9.131106176093222e-20
339.0,7.048165426758881e-19
340.0,1.613036539048828e-19
341.0,3.1178148166564375e-19
342.0,2.592651915519322e-19
343.0,2.614816310009046e-19
344.0,5.243450695291779e-19
345.0,2.9513190470008433e-19
346.0,4.901812414041535e-19
347.0,3.4693231124764227e-19
348.0,6.795602791272626e-19
349.0,1.6642074725282697e-19
350.0,2.786994999634206e-19
351.0,1.5151084359716472e-19
352.0,1.615993365986341e-19
353.0,1.332705567141337e-19
354.0,6.426826167565236e-19
355.0,5.232847829715034e-19
356.0,2.138976739308093e-19
357.0,2.275590125678918e-19
358.0,4.387516934955708e-19
359.0,2.7954419452792467e-19
360.0,2.7783037626279892e-19
361.0,1.4318970121771766e-19
362.0,1.0429957020443258e-19
363.0,5.221485209520562e-19
364.0,6.112244787187174e-19
365.0,2.6252385902007666e-19
366.0,3.9083755692716313e-19
367.0,4.727489184476965e-19
368.0,4.649946877438316e-19
369.0,2.472381875130442e-19
370.0,7.335208073684166e-19
371.0,3.197781640797268e-19
372.0,3.67702150476836e-19
373.0,2.0578481962017677e-19
374.0,4.050551790117986e-19
375.0,2.6751049578531783e-19
376.0,6.026426671280392e-19
377.0,2.7426828984917367e-19
378.0,2.3996222277396405e-19
379.0,1.549168923992539e-19
380.0,7.28018779754281e-19
381.0,8.865764101352886e-19
382.0,1.3293310540972765e-19
383.0,3.315927048974439e-19
384.0,4.243944866841907e-19
385.0,3.680445225033949e-19
386.0,6.197432457355265e-19
387.0,2.2368277913310947e-19
388.0,2.1613987041847722e-19
389.0,2.6386778254275773e-19
390.0,4.0628413342295307e-19
391.0,5.330262970215365e-19
392.0,2.3382910995641184e-19
393.0,4.367150475455717e-19
394.0,5.028233251878936e-19
395.0,7.332484129255736e-19
396.0,5.380508281032455e-19
397.0,3.7467509974026015e-19
398.0,3.418744810053455e-19
399.0,5.0566506426332e-19
400.0,2.922274389572224e-19
401.0,2.5410994851218635e-19
402.0,2.3120796857704e-19
403.0,2.7964411298808806e-19
404.0,4.423368850560898e-19
405.0,2.7010415474654297e-19
406.0,2.6284830581982057e-19
407.0,1.246434130872371e-19
408.0,3.6025634110370755e-19
409.0,4.525448761495752e-19
410.0,6.395510963891376e-19
411.0,1.2494073865234349e-19
412.0,4.907603077498324e-19
413.0,3.797572057396968e-19
414.0,5.376291138917614e-19
415.0,2.4114621177184557e-19
416.0,2.5848896156976257e-19
417.0,4.2083165134157736e-19
418.0,2.410233112359151e-19
419.0,2.2301224200124786e-19
420.0,1.0627301526985117e-19
421.0,5.288428366301379e-19
422.0,1.7806014835262882e-19
423.0,4.0268539906686066e-19
424.0,2.21822837258651e-19
425.0,5.088858041920333e-19
426.0,0.07455563602473952
427.0,3.1786721869629354e-19
428.0,3.3522732511549615e-19
429.0,4.766393240511211e-19
430.0,2.905170577547343e-19
431.0,3.391659597370264e-19
432.0,7.536415453378355e-19
433.0,1.1933207063552565e-19
434.0,0.0018280815875840422
435.0,2.919053055162296e-19
436.0,2.781918439501949e-19
437.0,2.291061273811929e-19
438.0,3.6811858771586746e-19
439.0,4.534566398775235e-19
440.0,2.380122190838759e-19
441.0,2.449975634484573e-19
442.0,5.094790215518353e-19
443.0,4.1782462919503125e-19
444.0,5.863753491929159e-19
445.0,5.428549895557859e-19
446.0,1.208172015526204e-19
447.0,0.005015705093949055
448.0,1.1407099605960466e-19
449.0,4.016254797964881e-19
450.0,3.5041991049292693e-19
451.0,3.7246570294578697e-19
452.0,4.1700442060206383e-19
453.0,0.0323046504531044
454.0,5.366270765497416e-19
455.0,2.9286978066548543e-19
456.0,7.370990903859548e-19
457.0,5.682711248755356e-19
458.0,4.550361980559306e-19
459.0,4.900324471073971e-19
460.0,2.6660410159469907e-19
461.0,4.914594723843291e-19
462.0,6.800956194123264e-19
463.0,4.594399157051106e-19
464.0,2.541818416871219e-19
465.0,3.8784861612766437e-19
466.0,5.816350211217291e-19
467.0,1.1144261418343377e-19
468.0,7.248420056693913e-19
469.0,2.54059174312344e-19
470.0,0.013295552852481782
471.0,2.661542418160016e-19
472.0,1.656832076848369e-19
473.0,2.3875577300503006e-19
474.0,2.7195911650765572e-19
475.0,3.85923232595832e-19
476.0,1.0296319361708507e-19
477.0,2.623035303811192e-19
478.0,0.008745778347220772
479.0,7.064006634486224e-20
480.0,4.64966666668964e-19
481.0,5.162075277689999e-19
482.0,4.367038270608292e-19
483.0,3.179334237398875e-19
484.0,3.002191927021555e-19
485.0,3.5586727878503597e-19
486.0,2.713021257842088e-19
487.0,5.390490944194851e-19
488.0,4.410728856680494e-19
489.0,2.664727129115581e-19
490.0,2.0071045745637498e-19
491.0,3.5581906499817044e-19
492.0,0.013610878528616144
493.0,3.2877832524751694e-19
494.0,0.0028109589724320365
