method,portfolio_type,n_points,mean_daily_variance,var_daily_variance
PCA,PortfolioA_GMV,120,8.503135963772226e-05,2.1730214468507888e-08
JSE,PortfolioA_GMV,120,0.00010997288700712047,2.3574227823007628e-08
