date,realized_return
2015-02-28,0.0037849435597290034
2015-03-31,0.017540732432383507
2015-04-30,0.012933004470127518
2015-05-31,0.0041199405979146335
2015-06-30,-0.012815030934183326
2015-07-31,0.02696669127444789
2015-08-31,-0.01779169847029001
2015-09-30,0.021318051454112315
2015-10-31,0.01906897454285838
2015-11-30,0.004955449848625892
2015-12-31,0.03411484313140985
2016-01-31,-0.0007004338010685391
2016-02-29,-0.0061793367924206765
2016-03-31,0.007287846645043811
2016-04-30,0.0013034861988673683
2016-05-31,0.05452573731676438
2016-07-31,0.014881168140592767
2016-08-31,0.028335100819681203
2016-09-30,0.006698073407002361
2016-10-31,0.010285511195573851
2016-11-30,0.005269158936315814
2016-12-31,0.0015272643495073826
2017-01-31,0.033120275296795516
2017-02-28,-0.03823171127674421
2017-03-31,0.05416044224847799
2017-04-30,0.013205118613426405
2017-05-31,-0.0034035623560245256
2017-06-30,-0.02551623599154753
2017-07-31,0.03090806574246967
2017-08-31,0.0023718941766573414
2017-09-30,-0.01621783016368734
2017-10-31,0.04827079916931462
2017-11-30,0.0036996298112225373
2017-12-31,0.02128226200192232
2018-01-31,-0.028217185335181257
2018-02-28,-0.003060778473736748
2018-03-31,0.015516365731631638
2018-04-30,-0.012741489386131242
2018-05-31,-0.015713419837290923
2018-06-30,0.009430351642078715
2018-07-31,0.035231377688540205
2018-08-31,0.033496144010494104
2018-09-30,0.0007218426375837136
2018-10-31,0.05107054781786172
2018-11-30,-0.024096174272417795
2018-12-31,-0.02078966773778259
2019-01-31,0.00048038160209739906
2019-02-28,0.0037468489490707774
2019-03-31,-0.05692666366234936
2019-04-30,0.030689120650941145
2019-05-31,-0.0020897364610462307
2019-06-30,0.025314278228977555
2019-07-31,0.00024544145006434375
2019-08-31,0.03752060322307915
2019-09-30,0.041483762790716694
2019-10-31,0.010304196373236693
2019-11-30,0.005811067895594713
2019-12-31,0.02198398774576924
2020-01-31,-0.026830898070889037
2020-02-29,0.01459904138226731
2020-03-31,-0.0019344939913258615
2020-04-30,-0.0011674790059947072
2020-05-31,-0.010015569403359834
2020-06-30,0.061255501364152684
2020-07-31,0.056013607770976144
2020-08-31,0.05001983645697532
2020-09-30,0.011446459829666319
2020-10-31,-0.003926780533152625
2020-11-30,-0.03184187590757105
2020-12-31,0.009936749072328662
2021-01-31,0.016161556452761003
2021-02-28,0.003619781981879398
2021-03-31,0.07449308345507505
2021-04-30,-0.021170783324045712
2021-05-31,0.009571746964325436
2021-06-30,0.007329451167425767
2021-07-31,-0.01742533564405775
2021-08-31,0.01795796737333014
2021-09-30,0.014616649210164959
2021-10-31,0.002373556305697043
2021-11-30,-0.009857354685673775
2021-12-31,0.02077446665815122
2022-01-31,0.014857087346830194
2022-02-28,0.020028350462567707
2022-03-31,0.00381306074958466
2022-04-30,-0.03254377521989216
2022-05-31,-0.028505555498302818
2022-06-30,-0.004691085615481598
2022-07-31,-0.0200893800853552
2022-08-31,-0.010067874185359323
2022-09-30,0.0523445129901481
2022-10-31,0.012707401538914597
2022-11-30,-0.016708460266331285
2022-12-31,-0.008344661094723706
2023-01-31,-0.0126048043107892
2023-02-28,0.008316702249941976
2023-03-31,-0.002315846850205962
2023-04-30,-0.00047709183434169146
2023-05-31,-0.008394936048121247
2023-06-30,0.03000640777565717
2023-07-31,0.036164319726959784
2023-08-31,0.014258766526496602
2023-09-30,0.03235593389871308
2023-10-31,-0.004343888118789573
2023-11-30,-0.002310540198206525
2023-12-31,0.015477423242287592
2024-01-31,0.01543288089259932
2024-02-29,-0.012929122986788458
2024-03-31,-0.02991768325329997
2024-04-30,-0.04230217612141883
2024-05-31,0.027058630361459265
2024-06-30,0.014738734394629917
2024-07-31,-0.0311689286696233
2024-08-31,-0.018172602937541183
2024-09-30,-0.015115036225794059
2024-10-31,-0.01867777799497196
2024-11-30,0.010259010409131197
2024-12-31,-0.0010069775722707144
